No.;Time;Comment;Scramble;Date;P.1
4554;14.39;;R F2 R2 D L' U2 B' R2 U' B2 D' L2 D F2 L2 U F2 D' B' R2;2020-11-19 19:20:32;14.39
4555;19.08;;B2 U L' F2 D F R' D' L2 B2 L2 D2 L2 U L2 B2 U' R2 B' D';2020-11-19 19:21:25;19.08
4556;23.06;;U' R2 D' L2 B2 D' U2 B2 F2 L2 U' R2 L' U L2 B L2 F' R' U2 R2;2020-11-19 19:24:51;23.06
4557;19.41;;U' L2 D' B2 F2 L2 U' L2 D' R2 B R F' D' L F U F' D' B;2020-11-19 19:27:06;19.41
4558;22.78;;U2 L D' R' D R2 F2 D F' R2 L' F2 L2 F2 B2 D2 R F2 D2 L;2020-11-19 19:31:33;22.78
4559;32.11;;D B2 L' B2 R B2 U2 B2 R2 F2 L' F2 D F' D2 B D' F2 U2 R;2020-11-19 19:32:23;32.11
4560;20.42;;D' R2 B D2 F U2 L2 F2 L2 B L2 U B' L' D2 R F U B';2020-11-19 19:34:13;20.42
4561;19.55;;U' R F' D2 B' F2 D2 R2 U2 L2 F' L2 R2 D' B2 R D2 F U' B;2020-11-19 19:34:53;19.55
4562;16.80;;B2 U L2 R2 U' R2 B2 D2 B2 U B R U B' U2 B2 F D2 R2;2020-11-19 19:35:54;16.80
4563;21.24;;R' U R' U2 F D2 B' R2 D2 F2 R2 B D2 B2 D U' L' B F U' L;2020-11-19 19:36:30;21.24
4564;17.18;;U' B2 D U F2 U' F2 L2 B2 U2 B' U' R B' F' L2 R2 D' B L;2020-11-19 19:37:08;17.18
4565;22.05;;D2 R B2 F2 L' D2 F2 D2 R' U2 R' F' L R2 B R2 U' B R;2020-11-19 19:37:59;22.05
4566;21.66;;U2 R' U' B U' D F' R' D' F2 D2 L2 B2 D2 F' U2 B R2 F' R2 D2;2020-11-19 19:38:37;21.66
4567;21.21;;U2 R D2 R' U2 L U2 B2 R2 D2 R D2 B' D2 U F2 L2 F' U' L D';2020-11-19 19:41:59;21.21
4568;18.95;;L2 B2 D B2 F2 R2 U' R2 F2 U' R2 L D2 R2 F D2 F' R B2 L2;2020-11-19 19:43:55;18.95
4569;18.37;;B2 D L' B2 F2 L2 D2 B2 R U2 L B2 L2 B L' B' U' L F L2 U';2020-11-19 19:44:44;18.37
4570;18.92;;F2 R2 U2 R' B2 U2 F2 D2 L2 R' U R2 B U' B2 D2 F U' B2;2020-11-19 19:45:47;18.92
4571;20.01;;B2 D' L2 U F2 R2 B2 R2 F2 U' F2 D2 F' U' F2 L' F U2 R' U B';2020-11-19 19:46:29;20.01
4572;26.21;;R2 D' R B' U2 B L B2 D R2 B2 D2 L2 D F2 U D F2 R F';2020-11-19 19:48:05;26.21
4573;22.74;;D B2 D2 B U2 B L2 B F' U2 L R D L F U' L2 F U2;2020-11-19 19:48:59;22.74
